2026-06-22 09:29:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=loader | lr=0.00009817 | val_macro_f1=86.4554 | prototype_update=no
2026-06-22 10:48:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=train | lr=0.00009791 | val_macro_f1=91.5054 | prototype_update=no
2026-06-22 13:11:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=eval | lr=0.00005256 | val_macro_f1=90.8980 | prototype_update=no
2026-06-22 10:12:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=loader | lr=0.00006639 | val_macro_f1=90.5090 | prototype_update=no
2026-06-22 10:26:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=train | lr=0.00007696 | val_macro_f1=85.1869 | prototype_update=no
2026-06-22 13:37:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=eval | lr=0.00008614 | val_macro_f1=85.1403 | prototype_update=no
2026-06-22 08:48:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=loader | lr=0.00007533 | val_macro_f1=84.7257 | prototype_update=no
2026-06-22 10:47:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=train | lr=0.00005894 | val_macro_f1=86.2087 | prototype_update=no
2026-06-22 14:09:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=eval | lr=0.00007738 | val_macro_f1=86.7484 | prototype_update=no
2026-06-22 08:53:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=loader | lr=0.00006113 | val_macro_f1=85.2134 | prototype_update=no
2026-06-22 11:11:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=train | lr=0.00008301 | val_macro_f1=85.9634 | prototype_update=no
2026-06-22 13:24:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=eval | lr=0.00007617 | val_macro_f1=89.2194 | prototype_update=no
2026-06-22 08:23:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=loader | lr=0.00007585 | val_macro_f1=87.8800 | prototype_update=no
2026-06-22 11:56:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=train | lr=0.00008277 | val_macro_f1=84.6103 | prototype_update=no
2026-06-22 13:52:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=eval | lr=0.00007266 | val_macro_f1=87.7864 | prototype_update=no
2026-06-22 08:45:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=loader | lr=0.00009994 | val_macro_f1=91.3418 | prototype_update=no
2026-06-22 11:24:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=train | lr=0.00006371 | val_macro_f1=92.9670 | prototype_update=yes
2026-06-22 13:03:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=eval | lr=0.00006064 | val_macro_f1=87.4267 | prototype_update=no
2026-06-22 09:35:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=loader | lr=0.00006688 | val_macro_f1=84.4097 | prototype_update=no
2026-06-22 11:10:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=train | lr=0.00006741 | val_macro_f1=84.3480 | prototype_update=no
2026-06-22 13:37:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=eval | lr=0.00009749 | val_macro_f1=88.5895 | prototype_update=no
2026-06-22 09:31:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=loader | lr=0.00006637 | val_macro_f1=88.4557 | prototype_update=no
2026-06-22 10:15:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=train | lr=0.00007526 | val_macro_f1=90.9624 | prototype_update=no
2026-06-22 14:02:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=eval | lr=0.00005556 | val_macro_f1=84.4279 | prototype_update=no
2026-06-22 09:04:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=loader | lr=0.00009646 | val_macro_f1=84.0860 | prototype_update=no
2026-06-22 10:59:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=train | lr=0.00006124 | val_macro_f1=91.1174 | prototype_update=no
2026-06-22 14:08:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=eval | lr=0.00008071 | val_macro_f1=90.8538 | prototype_update=no
