2026-06-01 09:00:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=loader | lr=0.00005938 | val_macro_f1=89.4553 | prototype_update=no
2026-06-01 10:15:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=train | lr=0.00005452 | val_macro_f1=87.0562 | prototype_update=no
2026-06-01 13:50:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=eval | lr=0.00005191 | val_macro_f1=90.0870 | prototype_update=no
2026-06-01 08:48:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=loader | lr=0.00008199 | val_macro_f1=86.2716 | prototype_update=no
2026-06-01 10:53:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=train | lr=0.00006081 | val_macro_f1=88.6655 | prototype_update=no
2026-06-01 13:57:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=eval | lr=0.00009020 | val_macro_f1=87.8358 | prototype_update=no
2026-06-01 09:42:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=loader | lr=0.00008411 | val_macro_f1=89.8339 | prototype_update=no
2026-06-01 11:02:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=train | lr=0.00008842 | val_macro_f1=91.6294 | prototype_update=no
2026-06-01 14:11:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=eval | lr=0.00009341 | val_macro_f1=91.2400 | prototype_update=no
2026-06-01 09:34:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=loader | lr=0.00009288 | val_macro_f1=85.1343 | prototype_update=no
2026-06-01 11:01:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=train | lr=0.00008419 | val_macro_f1=91.1874 | prototype_update=no
2026-06-01 13:36:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=eval | lr=0.00006033 | val_macro_f1=89.3016 | prototype_update=no
2026-06-01 08:23:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=loader | lr=0.00008309 | val_macro_f1=90.1079 | prototype_update=no
2026-06-01 11:05:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=train | lr=0.00007461 | val_macro_f1=85.5898 | prototype_update=no
2026-06-01 13:26:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=eval | lr=0.00006014 | val_macro_f1=88.6408 | prototype_update=no
2026-06-01 09:56:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=loader | lr=0.00005263 | val_macro_f1=89.9429 | prototype_update=no
2026-06-01 11:37:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=train | lr=0.00005271 | val_macro_f1=90.7327 | prototype_update=yes
2026-06-01 13:42:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=eval | lr=0.00008414 | val_macro_f1=88.4301 | prototype_update=no
2026-06-01 08:32:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=loader | lr=0.00009482 | val_macro_f1=87.3716 | prototype_update=no
2026-06-01 10:46:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=train | lr=0.00006748 | val_macro_f1=89.9214 | prototype_update=no
2026-06-01 13:10:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=eval | lr=0.00008338 | val_macro_f1=88.7072 | prototype_update=no
2026-06-01 10:07:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=loader | lr=0.00008428 | val_macro_f1=90.3603 | prototype_update=no
2026-06-01 10:59:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=train | lr=0.00009947 | val_macro_f1=84.7915 | prototype_update=no
2026-06-01 13:20:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=eval | lr=0.00009776 | val_macro_f1=84.7935 | prototype_update=no
2026-06-01 08:49:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=loader | lr=0.00009388 | val_macro_f1=84.3783 | prototype_update=no
2026-06-01 11:46:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=train | lr=0.00007605 | val_macro_f1=88.5166 | prototype_update=no
2026-06-01 13:16:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=eval | lr=0.00008409 | val_macro_f1=85.3357 | prototype_update=no
2026-06-01 09:10:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=loader | lr=0.00006587 | val_macro_f1=84.0586 | prototype_update=no
2026-06-01 11:15:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=train | lr=0.00006542 | val_macro_f1=89.7453 | prototype_update=no
2026-06-01 12:17:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=eval | lr=0.00009100 | val_macro_f1=87.3295 | prototype_update=no
2026-06-01 08:15:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=loader | lr=0.00009715 | val_macro_f1=86.3048 | prototype_update=no
2026-06-01 10:17:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=train | lr=0.00009099 | val_macro_f1=88.0171 | prototype_update=no
2026-06-01 13:17:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=eval | lr=0.00007712 | val_macro_f1=88.0965 | prototype_update=no
2026-06-01 10:11:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=UAMP-Net | stage=loader | lr=0.00007779 | val_macro_f1=88.1398 | prototype_update=no
2026-06-01 11:56:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=UAMP-Net | stage=train | lr=0.00009172 | val_macro_f1=89.4680 | prototype_update=yes
2026-06-01 14:05:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=UAMP-Net | stage=eval | lr=0.00009386 | val_macro_f1=86.8145 | prototype_update=no
2026-06-01 09:43:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ResNet-50 | stage=loader | lr=0.00009899 | val_macro_f1=89.8377 | prototype_update=no
2026-06-01 11:08:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ResNet-50 | stage=train | lr=0.00007617 | val_macro_f1=89.0902 | prototype_update=no
2026-06-01 13:57:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ResNet-50 | stage=eval | lr=0.00009507 | val_macro_f1=87.3411 | prototype_update=no
2026-06-01 09:33:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=EfficientNet-B3 | stage=loader | lr=0.00006287 | val_macro_f1=86.6432 | prototype_update=no
2026-06-01 10:47:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=EfficientNet-B3 | stage=train | lr=0.00005759 | val_macro_f1=91.1391 | prototype_update=no
2026-06-01 13:18:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=EfficientNet-B3 | stage=eval | lr=0.00007055 | val_macro_f1=91.7458 | prototype_update=no
2026-06-01 09:03:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt-Tiny | stage=loader | lr=0.00006918 | val_macro_f1=85.1570 | prototype_update=no
2026-06-01 11:21:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt-Tiny | stage=train | lr=0.00009899 | val_macro_f1=89.8745 | prototype_update=no
2026-06-01 13:01:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt-Tiny | stage=eval | lr=0.00006656 | val_macro_f1=89.5537 | prototype_update=no
2026-06-01 08:15:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=Swin-Tiny | stage=loader | lr=0.00007947 | val_macro_f1=88.8769 | prototype_update=no
2026-06-01 10:35:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=Swin-Tiny | stage=train | lr=0.00009671 | val_macro_f1=88.5865 | prototype_update=no
2026-06-01 12:25:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=Swin-Tiny | stage=eval | lr=0.00009089 | val_macro_f1=88.8635 | prototype_update=no
2026-06-01 09:02:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt+ARM | stage=loader | lr=0.00007631 | val_macro_f1=87.6057 | prototype_update=no
2026-06-01 11:07:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt+ARM | stage=train | lr=0.00005393 | val_macro_f1=84.1918 | prototype_update=no
