run_id,dataset,method,seed,epoch,train_loss,val_loss,val_macro_f1,prototype_purity,mean_uncertainty,activation_consistency
run_20260601_PlantVillage_ResNet-50,PlantVillage,ResNet-50,20260601,1,1.68532,1.83417,84.1828,0.7337,0.6592,0.8528
run_20260601_PlantDoc_ResNet-50,PlantDoc,ResNet-50,20260601,2,1.59575,1.80385,64.5781,0.7597,0.98,0.841
run_20260601_CUB-200-2011_ResNet-50,CUB-200-2011,ResNet-50,20260601,3,1.50818,1.65998,72.0851,0.7698,0.98,0.8625
run_20260601_PlantVillage_EfficientNet-B3,PlantVillage,EfficientNet-B3,20260601,4,1.4195,1.54678,87.3804,0.7604,0.5574,0.8757
run_20260601_PlantDoc_EfficientNet-B3,PlantDoc,EfficientNet-B3,20260601,5,1.35853,1.49314,70.4316,0.7649,0.98,0.8651
run_20260601_CUB-200-2011_EfficientNet-B3,CUB-200-2011,EfficientNet-B3,20260601,6,1.234,1.36743,76.4848,0.7582,0.8932,0.8455
run_20260601_PlantVillage_ConvNeXt-Tiny,PlantVillage,ConvNeXt-Tiny,20260601,7,1.16593,1.22817,90.5312,0.7773,0.471,0.8602
run_20260601_PlantDoc_ConvNeXt-Tiny,PlantDoc,ConvNeXt-Tiny,20260601,8,1.0733,1.25095,74.4442,0.8104,0.98,0.8512
run_20260601_CUB-200-2011_ConvNeXt-Tiny,CUB-200-2011,ConvNeXt-Tiny,20260601,9,1.00729,1.12215,80.4712,0.7581,0.7844,0.8365
run_20260601_PlantVillage_Swin-Tiny,PlantVillage,Swin-Tiny,20260601,10,0.9692,1.03897,91.7511,0.8007,0.3947,0.8665
run_20260601_PlantDoc_Swin-Tiny,PlantDoc,Swin-Tiny,20260601,11,0.91903,1.02913,76.2531,0.7831,0.98,0.8522
run_20260601_CUB-200-2011_Swin-Tiny,CUB-200-2011,Swin-Tiny,20260601,12,0.83946,0.91972,82.9388,0.7843,0.7341,0.883
run_20260601_PlantVillage_ConvNeXtplusARM,PlantVillage,ConvNeXt+ARM,20260601,13,0.80673,0.84233,93.5961,0.7855,0.2847,0.8398
run_20260601_PlantDoc_ConvNeXtplusARM,PlantDoc,ConvNeXt+ARM,20260601,14,0.76474,0.86393,80.0406,0.7769,0.7761,0.8522
run_20260601_CUB-200-2011_ConvNeXtplusARM,CUB-200-2011,ConvNeXt+ARM,20260601,15,0.71629,0.78981,83.5868,0.7858,0.6028,0.8489
run_20260601_PlantVillage_UAMP-Net,PlantVillage,UAMP-Net,20260601,16,0.66813,0.70148,94.919,0.8426,0.2672,0.8667
run_20260601_PlantDoc_UAMP-Net,PlantDoc,UAMP-Net,20260601,17,0.61957,0.73453,83.4065,0.8457,0.7348,0.8173
run_20260601_CUB-200-2011_UAMP-Net,CUB-200-2011,UAMP-Net,20260601,18,0.59233,0.61952,85.5155,0.8225,0.6059,0.8765
run_20260607_PlantVillage_ResNet-50,PlantVillage,ResNet-50,20260607,19,0.52442,0.5723,93.827,0.7873,0.2392,0.8857
run_20260607_PlantDoc_ResNet-50,PlantDoc,ResNet-50,20260607,20,0.5178,0.65079,73.4482,0.8172,0.98,0.8352
run_20260607_CUB-200-2011_ResNet-50,CUB-200-2011,ResNet-50,20260607,21,0.48094,0.59029,79.9278,0.7652,0.8542,0.8246
run_20260607_PlantVillage_EfficientNet-B3,PlantVillage,EfficientNet-B3,20260607,22,0.44785,0.49667,95.0336,0.769,0.2895,0.8354
run_20260607_PlantDoc_EfficientNet-B3,PlantDoc,EfficientNet-B3,20260607,23,0.41422,0.51638,78.3245,0.8252,0.946,0.8637
run_20260607_CUB-200-2011_EfficientNet-B3,CUB-200-2011,EfficientNet-B3,20260607,24,0.39607,0.48604,82.5018,0.7688,0.6959,0.839
run_20260607_PlantVillage_ConvNeXt-Tiny,PlantVillage,ConvNeXt-Tiny,20260607,25,0.36235,0.3894,96.3555,0.7975,0.1306,0.8491
run_20260607_PlantDoc_ConvNeXt-Tiny,PlantDoc,ConvNeXt-Tiny,20260607,26,0.36455,0.44989,79.9788,0.8003,0.8673,0.8458
run_20260607_CUB-200-2011_ConvNeXt-Tiny,CUB-200-2011,ConvNeXt-Tiny,20260607,27,0.34291,0.36428,85.8473,0.8131,0.6435,0.8072
run_20260607_PlantVillage_Swin-Tiny,PlantVillage,Swin-Tiny,20260607,28,0.3052,0.36047,96.7961,0.7744,0.1645,0.8288
run_20260607_PlantDoc_Swin-Tiny,PlantDoc,Swin-Tiny,20260607,29,0.28579,0.3548,80.7302,0.7862,0.9033,0.8294
run_20260607_CUB-200-2011_Swin-Tiny,CUB-200-2011,Swin-Tiny,20260607,30,0.24374,0.28234,86.9993,0.8046,0.5296,0.8668
run_20260607_PlantVillage_ConvNeXtplusARM,PlantVillage,ConvNeXt+ARM,20260607,31,0.26238,0.25918,97.454,0.8369,0.0439,0.843
run_20260607_PlantDoc_ConvNeXtplusARM,PlantDoc,ConvNeXt+ARM,20260607,32,0.23148,0.27635,84.339,0.8166,0.6541,0.8523
run_20260607_CUB-200-2011_ConvNeXtplusARM,CUB-200-2011,ConvNeXt+ARM,20260607,33,0.23271,0.27001,87.0299,0.7942,0.5555,0.882
run_20260607_PlantVillage_UAMP-Net,PlantVillage,UAMP-Net,20260607,34,0.23301,0.20528,98.0272,0.8676,0.0485,0.83
run_20260607_PlantDoc_UAMP-Net,PlantDoc,UAMP-Net,20260607,35,0.21059,0.24476,86.4667,0.8408,0.5887,0.8562
run_20260607_CUB-200-2011_UAMP-Net,CUB-200-2011,UAMP-Net,20260607,36,0.19751,0.228,88.8212,0.8767,0.5507,0.8488
run_20260614_PlantVillage_ResNet-50,PlantVillage,ResNet-50,20260614,37,0.20575,0.17258,95.9965,0.7582,0.1516,0.8453
run_20260614_PlantDoc_ResNet-50,PlantDoc,ResNet-50,20260614,38,0.16092,0.22723,76.3204,0.8218,0.98,0.8777
run_20260614_CUB-200-2011_ResNet-50,CUB-200-2011,ResNet-50,20260614,39,0.15102,0.22578,81.9705,0.8743,0.732,0.843
run_20260614_PlantVillage_EfficientNet-B3,PlantVillage,EfficientNet-B3,20260614,40,0.16031,0.13646,96.8401,0.8401,0.1304,0.8539
run_20260614_PlantDoc_EfficientNet-B3,PlantDoc,EfficientNet-B3,20260614,41,0.16419,0.25063,79.4774,0.8342,0.854,0.8648
run_20260614_CUB-200-2011_EfficientNet-B3,CUB-200-2011,EfficientNet-B3,20260614,42,0.15992,0.19996,84.9468,0.7949,0.6845,0.8136
run_20260614_PlantVillage_ConvNeXt-Tiny,PlantVillage,ConvNeXt-Tiny,20260614,43,0.1338,0.11451,97.7838,0.8121,0.1268,0.8299
run_20260614_PlantDoc_ConvNeXt-Tiny,PlantDoc,ConvNeXt-Tiny,20260614,44,0.12515,0.19936,81.4437,0.8498,0.7567,0.8968
run_20260614_CUB-200-2011_ConvNeXt-Tiny,CUB-200-2011,ConvNeXt-Tiny,20260614,45,0.11447,0.152,86.596,0.8324,0.5748,0.8262
run_20260614_PlantVillage_Swin-Tiny,PlantVillage,Swin-Tiny,20260614,46,0.07222,0.09522,97.7237,0.8542,0.0638,0.8134
run_20260614_PlantDoc_Swin-Tiny,PlantDoc,Swin-Tiny,20260614,47,0.09703,0.15042,81.9286,0.871,0.7277,0.8544
run_20260614_CUB-200-2011_Swin-Tiny,CUB-200-2011,Swin-Tiny,20260614,48,0.1052,0.14054,87.4455,0.8334,0.5107,0.8391
run_20260614_PlantVillage_ConvNeXtplusARM,PlantVillage,ConvNeXt+ARM,20260614,49,0.06708,0.06964,98.1827,0.8548,0.076,0.8676
run_20260614_PlantDoc_ConvNeXtplusARM,PlantDoc,ConvNeXt+ARM,20260614,50,0.09414,0.16149,84.2607,0.8311,0.6165,0.8467
run_20260614_CUB-200-2011_ConvNeXtplusARM,CUB-200-2011,ConvNeXt+ARM,20260614,51,0.05545,0.09819,88.414,0.8522,0.5604,0.8486
run_20260614_PlantVillage_UAMP-Net,PlantVillage,UAMP-Net,20260614,52,0.0697,0.06425,98.566,0.8807,0.0203,0.8557
run_20260614_PlantDoc_UAMP-Net,PlantDoc,UAMP-Net,20260614,53,0.03873,0.08634,86.9551,0.9219,0.5364,0.8257
run_20260614_CUB-200-2011_UAMP-Net,CUB-200-2011,UAMP-Net,20260614,54,0.0598,0.07712,89.4704,0.9424,0.5362,0.8278
run_20260601_PlantVillage_ResNet-50,PlantVillage,ResNet-50,20260601,55,0.03904,0.12224,96.4012,0.8647,0.1167,0.8439
run_20260601_PlantDoc_ResNet-50,PlantDoc,ResNet-50,20260601,56,0.02726,0.16779,76.4011,0.8397,0.98,0.8336
run_20260601_CUB-200-2011_ResNet-50,CUB-200-2011,ResNet-50,20260601,57,0.03243,0.13381,83.312,0.8755,0.6787,0.8497
run_20260601_PlantVillage_EfficientNet-B3,PlantVillage,EfficientNet-B3,20260601,58,0.05342,0.05787,97.474,0.8687,0.0757,0.8638
run_20260601_PlantDoc_EfficientNet-B3,PlantDoc,EfficientNet-B3,20260601,59,0.06819,0.12333,79.5357,0.8854,0.8858,0.8513
run_20260601_CUB-200-2011_EfficientNet-B3,CUB-200-2011,EfficientNet-B3,20260601,60,0.05252,0.12547,85.0161,0.8567,0.6584,0.868
run_20260601_PlantVillage_ConvNeXt-Tiny,PlantVillage,ConvNeXt-Tiny,20260601,1,1.68541,1.84146,85.5351,0.7345,0.6659,0.874
run_20260601_PlantDoc_ConvNeXt-Tiny,PlantDoc,ConvNeXt-Tiny,20260601,2,1.56702,1.75896,71.0093,0.7535,0.98,0.8648
run_20260601_CUB-200-2011_ConvNeXt-Tiny,CUB-200-2011,ConvNeXt-Tiny,20260601,3,1.50188,1.67767,76.2346,0.7565,0.9748,0.8705
run_20260601_PlantVillage_Swin-Tiny,PlantVillage,Swin-Tiny,20260601,4,1.38473,1.52496,88.0036,0.769,0.481,0.7934
run_20260601_PlantDoc_Swin-Tiny,PlantDoc,Swin-Tiny,20260601,5,1.31206,1.44748,72.8687,0.7586,0.98,0.8637
run_20260601_CUB-200-2011_Swin-Tiny,CUB-200-2011,Swin-Tiny,20260601,6,1.25088,1.35697,78.8955,0.7727,0.9272,0.8135
run_20260601_PlantVillage_ConvNeXtplusARM,PlantVillage,ConvNeXt+ARM,20260601,7,1.17581,1.24029,90.8319,0.7344,0.4602,0.8616
run_20260601_PlantDoc_ConvNeXtplusARM,PlantDoc,ConvNeXt+ARM,20260601,8,1.09974,1.24357,76.3293,0.7713,0.98,0.8237
run_20260601_CUB-200-2011_ConvNeXtplusARM,CUB-200-2011,ConvNeXt+ARM,20260601,9,1.01646,1.10841,80.6465,0.7675,0.7706,0.8462
run_20260601_PlantVillage_UAMP-Net,PlantVillage,UAMP-Net,20260601,10,0.95173,1.01688,92.6302,0.8168,0.2769,0.8611
run_20260601_PlantDoc_UAMP-Net,PlantDoc,UAMP-Net,20260601,11,0.9048,0.99705,82.1011,0.8597,0.7041,0.8445
run_20260601_CUB-200-2011_UAMP-Net,CUB-200-2011,UAMP-Net,20260601,12,0.82291,0.93089,84.3719,0.8288,0.6789,0.854
run_20260607_PlantVillage_ResNet-50,PlantVillage,ResNet-50,20260607,13,0.7951,0.84359,91.5322,0.7587,0.2585,0.8331
run_20260607_PlantDoc_ResNet-50,PlantDoc,ResNet-50,20260607,14,0.73808,0.88927,72.389,0.7712,0.98,0.8584
run_20260607_CUB-200-2011_ResNet-50,CUB-200-2011,ResNet-50,20260607,15,0.72911,0.7895,78.7349,0.7648,0.9642,0.8556
run_20260607_PlantVillage_EfficientNet-B3,PlantVillage,EfficientNet-B3,20260607,16,0.66185,0.68812,93.4005,0.7867,0.2349,0.8183
run_20260607_PlantDoc_EfficientNet-B3,PlantDoc,EfficientNet-B3,20260607,17,0.62615,0.71831,75.9176,0.7555,0.98,0.8685
run_20260607_CUB-200-2011_EfficientNet-B3,CUB-200-2011,EfficientNet-B3,20260607,18,0.59258,0.6421,81.144,0.7973,0.7496,0.8385
run_20260607_PlantVillage_ConvNeXt-Tiny,PlantVillage,ConvNeXt-Tiny,20260607,19,0.55633,0.57702,95.3247,0.7575,0.0694,0.8404
run_20260607_PlantDoc_ConvNeXt-Tiny,PlantDoc,ConvNeXt-Tiny,20260607,20,0.48533,0.60563,78.7623,0.7693,0.9653,0.8653
run_20260607_CUB-200-2011_ConvNeXt-Tiny,CUB-200-2011,ConvNeXt-Tiny,20260607,21,0.49841,0.55323,84.5972,0.8148,0.6392,0.8517
run_20260607_PlantVillage_Swin-Tiny,PlantVillage,Swin-Tiny,20260607,22,0.4438,0.47957,95.4458,0.818,0.2452,0.8824
run_20260607_PlantDoc_Swin-Tiny,PlantDoc,Swin-Tiny,20260607,23,0.41565,0.51541,80.0289,0.7778,0.8766,0.8472
run_20260607_CUB-200-2011_Swin-Tiny,CUB-200-2011,Swin-Tiny,20260607,24,0.40853,0.4934,85.5169,0.8035,0.7246,0.8292
run_20260607_PlantVillage_ConvNeXtplusARM,PlantVillage,ConvNeXt+ARM,20260607,25,0.39391,0.41933,96.4024,0.7805,0.154,0.8573
run_20260607_PlantDoc_ConvNeXtplusARM,PlantDoc,ConvNeXt+ARM,20260607,26,0.34632,0.40965,82.0101,0.7817,0.7187,0.8278
run_20260607_CUB-200-2011_ConvNeXtplusARM,CUB-200-2011,ConvNeXt+ARM,20260607,27,0.32406,0.40256,86.0321,0.8232,0.4959,0.8359
run_20260607_PlantVillage_UAMP-Net,PlantVillage,UAMP-Net,20260607,28,0.30741,0.32054,97.5359,0.8702,0.0231,0.8431
run_20260607_PlantDoc_UAMP-Net,PlantDoc,UAMP-Net,20260607,29,0.26622,0.33043,86.2069,0.8897,0.5348,0.8295
run_20260607_CUB-200-2011_UAMP-Net,CUB-200-2011,UAMP-Net,20260607,30,0.28572,0.31789,87.9423,0.8957,0.4705,0.8347
run_20260614_PlantVillage_ResNet-50,PlantVillage,ResNet-50,20260614,31,0.24603,0.26168,95.2925,0.825,0.1871,0.8441
run_20260614_PlantDoc_ResNet-50,PlantDoc,ResNet-50,20260614,32,0.22434,0.32979,75.1318,0.7853,0.98,0.8503
run_20260614_CUB-200-2011_ResNet-50,CUB-200-2011,ResNet-50,20260614,33,0.21504,0.31452,81.5417,0.7959,0.8085,0.8868
run_20260614_PlantVillage_EfficientNet-B3,PlantVillage,EfficientNet-B3,20260614,34,0.23636,0.20343,96.472,0.8401,0.0604,0.8659
run_20260614_PlantDoc_EfficientNet-B3,PlantDoc,EfficientNet-B3,20260614,35,0.19381,0.29529,79.796,0.8485,0.8132,0.8494
run_20260614_CUB-200-2011_EfficientNet-B3,CUB-200-2011,EfficientNet-B3,20260614,36,0.17089,0.25117,84.4327,0.7979,0.6722,0.8428
run_20260614_PlantVillage_ConvNeXt-Tiny,PlantVillage,ConvNeXt-Tiny,20260614,37,0.1839,0.17585,97.4496,0.8622,0.0899,0.8675
run_20260614_PlantDoc_ConvNeXt-Tiny,PlantDoc,ConvNeXt-Tiny,20260614,38,0.17893,0.2432,81.0992,0.8539,0.8338,0.8676
run_20260614_CUB-200-2011_ConvNeXt-Tiny,CUB-200-2011,ConvNeXt-Tiny,20260614,39,0.15109,0.22099,86.5474,0.825,0.5216,0.8509
run_20260614_PlantVillage_Swin-Tiny,PlantVillage,Swin-Tiny,20260614,40,0.16215,0.16872,97.3258,0.8141,0.1726,0.829
run_20260614_PlantDoc_Swin-Tiny,PlantDoc,Swin-Tiny,20260614,41,0.13451,0.17852,81.0078,0.8423,0.8909,0.86
run_20260614_CUB-200-2011_Swin-Tiny,CUB-200-2011,Swin-Tiny,20260614,42,0.13834,0.17102,86.9865,0.856,0.6093,0.8504
run_20260614_PlantVillage_ConvNeXtplusARM,PlantVillage,ConvNeXt+ARM,20260614,43,0.13121,0.12909,98.0036,0.8014,0.02,0.8263
run_20260614_PlantDoc_ConvNeXtplusARM,PlantDoc,ConvNeXt+ARM,20260614,44,0.11303,0.16458,83.8144,0.8488,0.7109,0.8316
