dataset,class_id,prototype_id,mixture_weight,covariance_trace,activation_mean,separation,reliability,uncertainty,support
CUB-200-2011,0,0,0.285765,0.613014,0.812252,10.519129,0.000000,1.000000,60
CUB-200-2011,0,1,0.367099,0.966045,0.828319,9.849803,0.000021,0.999979,80
CUB-200-2011,0,2,0.312841,0.780238,0.824320,10.942624,1.000000,0.000000,70
CUB-200-2011,1,3,0.351229,1.291850,0.830458,9.890432,1.000000,0.000000,140
CUB-200-2011,1,4,0.150214,1.084993,0.827817,10.076597,0.000000,1.000000,60
CUB-200-2011,1,5,0.173971,1.370863,0.837589,10.000434,0.009725,0.990275,70
CUB-200-2011,1,6,0.308968,0.983022,0.830558,9.690907,0.016649,0.983351,130
CUB-200-2011,2,7,0.214734,1.523457,0.836631,10.168233,0.698715,0.301285,120
CUB-200-2011,2,8,0.196541,1.219235,0.830082,10.215753,0.710895,0.289105,110
CUB-200-2011,2,9,0.107683,0.795057,0.824118,9.617109,0.000000,1.000000,60
CUB-200-2011,2,10,0.228709,1.925573,0.846272,9.998895,0.010220,0.989780,130
CUB-200-2011,2,11,0.244428,0.846910,0.829033,10.401654,1.000000,0.000000,140
CUB-200-2011,3,12,0.331672,1.651577,0.826147,10.528271,0.562167,0.437833,100
CUB-200-2011,3,13,0.297350,1.359395,0.824817,10.708751,0.000000,1.000000,90
CUB-200-2011,3,14,0.356225,0.729723,0.834388,10.086746,0.999999,0.000001,110
CUB-200-2011,4,15,0.266836,0.917340,0.833176,10.397594,1.000000,0.000000,90
CUB-200-2011,4,16,0.288013,1.117627,0.837389,10.266386,0.910103,0.089897,100
CUB-200-2011,4,17,0.227942,0.680533,0.832009,9.690907,0.008760,0.991240,80
CUB-200-2011,4,18,0.194251,1.389086,0.814523,10.430789,0.000000,1.000000,70
CUB-200-2011,5,19,0.318981,0.823217,0.825332,10.266386,0.017993,0.982007,140
CUB-200-2011,5,20,0.159558,1.041151,0.848764,10.541543,1.000000,0.000000,70
CUB-200-2011,5,21,0.136493,0.844449,0.833211,10.307702,0.000000,1.000000,60
CUB-200-2011,5,22,0.176022,1.272530,0.809776,10.509963,0.061247,0.938753,80
CUB-200-2011,5,23,0.193454,1.613259,0.841671,10.492347,0.012077,0.987923,90
CUB-200-2011,6,24,0.332186,1.263791,0.835061,10.298812,1.000000,0.000000,130
CUB-200-2011,6,25,0.356176,1.622727,0.826019,10.570094,0.013903,0.986097,140
CUB-200-2011,6,26,0.290868,0.977102,0.819568,9.859450,0.000000,1.000000,120
CUB-200-2011,7,27,0.217507,1.141612,0.827638,10.051246,0.000000,1.000000,100
CUB-200-2011,7,28,0.237064,1.449773,0.835531,10.202390,0.495202,0.504798,110
CUB-200-2011,7,29,0.257394,1.813544,0.838138,10.265975,0.010164,0.989836,120
CUB-200-2011,7,30,0.272357,0.784743,0.829454,10.420290,1.000000,0.000000,130
CUB-200-2011,8,31,0.180374,1.643602,0.823443,10.366605,0.005768,0.994232,90
CUB-200-2011,8,32,0.160163,1.325641,0.833516,10.758732,0.000000,1.000000,80
CUB-200-2011,8,33,0.238534,1.276166,0.821814,11.051231,0.122275,0.877725,120
CUB-200-2011,8,34,0.217786,0.983731,0.847035,9.998895,0.018801,0.981199,110
CUB-200-2011,8,35,0.196213,0.785969,0.823398,10.363782,1.000000,0.000000,100
CUB-200-2011,9,36,0.377665,0.809048,0.840018,10.379817,1.000000,0.000000,80
CUB-200-2011,9,37,0.318642,0.659625,0.821187,10.782895,0.948679,0.051321,70
CUB-200-2011,9,38,0.269312,1.267218,0.814154,10.229575,0.000000,1.000000,60
CUB-200-2011,10,39,0.351313,1.037558,0.822177,10.268102,1.000000,0.000000,140
CUB-200-2011,10,40,0.325149,0.797276,0.814618,10.191286,0.081105,0.918895,130
CUB-200-2011,10,41,0.149111,0.938406,0.839288,10.067733,0.000000,1.000000,60
CUB-200-2011,10,42,0.157261,1.217541,0.838226,10.705630,0.006540,0.993460,70
CUB-200-2011,11,43,0.232955,1.585754,0.825699,10.011755,0.011409,0.988591,130
CUB-200-2011,11,44,0.107723,0.685132,0.823077,10.460591,0.000000,1.000000,60
CUB-200-2011,11,45,0.247660,1.989791,0.827622,10.557805,0.020622,0.979378,140
