dataset,class_id,prototype_id,mixture_weight,covariance_trace,activation_mean,separation,reliability,uncertainty,support
PlantDoc,0,0,0.285703,0.618396,0.800419,10.107341,0.000000,1.000000,60
PlantDoc,0,1,0.374385,0.977895,0.834777,10.172586,0.010895,0.989105,80
PlantDoc,0,2,0.323575,0.747215,0.826240,10.411485,1.000000,0.000000,70
PlantDoc,1,3,0.176838,1.409211,0.818244,10.397676,0.000000,1.000000,70
PlantDoc,1,4,0.324313,0.990726,0.828123,9.743168,0.016481,0.983519,130
PlantDoc,1,5,0.150266,1.148886,0.846948,10.659277,0.002276,0.997724,60
PlantDoc,1,6,0.344882,1.324704,0.838814,10.086567,1.000000,0.000000,140
PlantDoc,2,7,0.108669,0.812923,0.854726,10.500724,0.001420,0.998580,60
PlantDoc,2,8,0.214270,1.552335,0.841952,10.257315,0.679869,0.320131,120
PlantDoc,2,9,0.196046,1.191403,0.824432,9.893650,0.005231,0.994769,110
PlantDoc,2,10,0.228823,1.939752,0.823234,10.160288,0.000000,1.000000,130
PlantDoc,2,11,0.244549,0.837261,0.829630,10.469146,1.000000,0.000000,140
PlantDoc,3,12,0.368740,0.674147,0.833180,9.795474,1.000000,0.000000,110
PlantDoc,3,13,0.289900,1.253330,0.833226,9.566464,0.000000,1.000000,90
PlantDoc,3,14,0.318587,1.617135,0.840250,9.695335,0.096284,0.903716,100
PlantDoc,4,15,0.235912,0.685746,0.818403,10.176453,0.973796,0.026204,80
PlantDoc,4,16,0.291916,1.126059,0.816708,10.499385,1.000000,0.000000,100
PlantDoc,4,17,0.258158,0.868614,0.815284,9.695335,0.000885,0.999115,90
PlantDoc,4,18,0.198603,1.387082,0.827380,10.177475,0.000000,1.000000,70
PlantDoc,5,19,0.159898,0.972700,0.834899,10.295541,1.000000,0.000000,70
PlantDoc,5,20,0.137008,0.795241,0.851481,10.246741,0.000000,1.000000,60
PlantDoc,5,21,0.314660,0.808356,0.822037,10.178635,0.145210,0.854790,140
PlantDoc,5,22,0.179708,1.251389,0.822469,9.784968,0.002922,0.997078,80
PlantDoc,5,23,0.197505,1.600822,0.831537,10.509068,0.012106,0.987894,90
PlantDoc,6,24,0.333801,1.243607,0.817222,10.308256,1.000000,0.000000,130
PlantDoc,6,25,0.307141,0.961453,0.836931,9.896090,0.000000,1.000000,120
PlantDoc,6,26,0.345439,1.591815,0.832237,10.086567,0.170545,0.829455,140
PlantDoc,7,27,0.284153,0.785397,0.823629,9.743168,0.000000,1.000000,130
PlantDoc,7,28,0.237161,1.471281,0.830541,10.238161,1.000000,0.000000,110
PlantDoc,7,29,0.255042,1.832057,0.832222,10.412056,0.017387,0.982613,120
PlantDoc,7,30,0.210788,1.160344,0.838165,10.337696,0.001668,0.998332,100
PlantDoc,8,31,0.200786,0.748416,0.840739,9.566464,0.015012,0.984988,100
PlantDoc,8,32,0.160225,1.260110,0.830442,10.551781,0.000000,1.000000,80
PlantDoc,8,33,0.237862,1.236678,0.819661,10.376105,0.095669,0.904331,120
PlantDoc,8,34,0.178000,1.571542,0.826784,10.267409,0.007827,0.992173,90
PlantDoc,8,35,0.213244,0.976697,0.822934,9.931335,1.000000,0.000000,110
PlantDoc,9,36,0.334821,0.620974,0.823733,10.303480,0.912389,0.087611,70
PlantDoc,9,37,0.373937,0.777570,0.823230,10.424816,1.000000,0.000000,80
PlantDoc,9,38,0.259445,1.254661,0.817742,9.784968,0.000000,1.000000,60
PlantDoc,10,39,0.176845,1.160670,0.818779,10.349817,0.000000,1.000000,70
PlantDoc,10,40,0.150566,0.915086,0.818965,9.952633,0.000399,0.999601,60
PlantDoc,10,41,0.345471,1.023133,0.822816,10.219741,1.000000,0.000000,140
PlantDoc,10,42,0.318529,0.759915,0.828248,9.795474,0.015097,0.984903,130
PlantDoc,11,43,0.108730,0.692344,0.838359,10.050412,0.000000,1.000000,60
PlantDoc,11,44,0.250826,2.016567,0.825796,10.257172,0.009853,0.990147,140
PlantDoc,11,45,0.196368,1.015382,0.823947,10.820957,1.000000,0.000000,110
PlantDoc,11,46,0.211516,1.257011,0.816640,10.265607,0.053445,0.946555,120
PlantDoc,11,47,0.223812,1.603948,0.843431,10.455810,0.855576,0.144424,130
PlantDoc,12,48,0.368181,1.747966,0.838394,10.015541,0.000000,1.000000,110
PlantDoc,12,49,0.298698,1.099507,0.841078,10.519574,0.051854,0.948146,90
PlantDoc,12,50,0.318649,1.400981,0.819014,10.282735,1.000000,0.000000,100
PlantDoc,13,51,0.119524,0.988487,0.821948,10.095483,0.000847,0.999153,40
PlantDoc,13,52,0.118339,0.986682,0.827762,10.110269,0.000103,0.999897,40
PlantDoc,13,53,0.204145,1.189455,0.805543,10.290144,0.000000,1.000000,70
PlantDoc,13,54,0.287378,0.891861,0.837829,10.349817,0.880210,0.119790,100
PlantDoc,13,55,0.256095,0.695071,0.835771,10.411997,1.000000,0.000000,90
PlantDoc,14,56,0.159901,0.795720,0.833874,9.892325,0.000000,1.000000,70
PlantDoc,14,57,0.137010,0.627032,0.839652,9.952633,0.001298,0.998702,60
PlantDoc,14,58,0.180184,1.024753,0.836879,10.171726,0.823902,0.176098,80
PlantDoc,14,59,0.201555,1.320441,0.843237,10.181258,1.000000,0.000000,90
PlantDoc,14,60,0.310092,1.985602,0.842371,9.969016,0.012518,0.987482,140
PlantDoc,15,61,0.333801,1.000801,0.815041,10.311117,1.000000,0.000000,130
PlantDoc,15,62,0.307141,0.762509,0.827325,10.023952,0.000000,1.000000,120
PlantDoc,15,63,0.345439,1.314535,0.824758,10.228810,0.189499,0.810501,140
PlantDoc,16,64,0.239727,1.199198,0.827073,10.303480,1.000000,0.000000,110
PlantDoc,16,65,0.217509,0.943096,0.824785,10.420210,0.000000,1.000000,100
PlantDoc,16,66,0.258512,1.536692,0.826929,10.287446,0.016860,0.983140,120
PlantDoc,16,67,0.271460,1.914248,0.827665,10.295289,0.012885,0.987115,130
