dataset,class_id,prototype_id,mixture_weight,covariance_trace,activation_mean,separation,reliability,uncertainty,support
PlantVillage,0,0,0.334113,0.770534,0.823844,10.307637,1.000000,0.000000,70
PlantVillage,0,1,0.285026,0.626825,0.842950,9.996135,0.000000,1.000000,60
PlantVillage,0,2,0.369247,0.977815,0.831097,10.425896,0.208762,0.791238,80
PlantVillage,1,3,0.150979,1.118450,0.828156,9.530997,0.000000,1.000000,60
PlantVillage,1,4,0.175215,1.391765,0.829657,10.085056,0.004412,0.995588,70
PlantVillage,1,5,0.320906,1.008816,0.831414,10.320554,1.000000,0.000000,130
PlantVillage,1,6,0.338132,1.295540,0.824634,9.794229,0.033947,0.966053,140
PlantVillage,2,7,0.108669,0.780071,0.825694,9.765457,0.000000,1.000000,60
PlantVillage,2,8,0.250184,0.823517,0.821029,10.482934,1.000000,0.000000,140
PlantVillage,2,9,0.195865,1.206266,0.827021,10.500068,0.806063,0.193937,110
PlantVillage,2,10,0.212662,1.527946,0.815128,10.079467,0.036192,0.963808,120
PlantVillage,2,11,0.225025,1.902802,0.816401,9.773346,0.002423,0.997577,130
PlantVillage,3,12,0.368224,0.678204,0.841466,9.606402,0.999999,0.000001,110
PlantVillage,3,13,0.292542,1.290616,0.845734,10.346448,0.094271,0.905729,90
PlantVillage,3,14,0.321490,1.637438,0.839238,9.938457,0.000000,1.000000,100
PlantVillage,4,15,0.235912,0.664924,0.839120,10.358258,1.000000,0.000000,80
PlantVillage,4,16,0.291916,1.106276,0.829249,10.351227,0.908160,0.091840,100
PlantVillage,4,17,0.258158,0.847246,0.818843,9.613633,0.000653,0.999347,90
PlantVillage,4,18,0.198603,1.353684,0.826526,10.162868,0.000000,1.000000,70
PlantVillage,5,19,0.318681,0.809554,0.828418,10.241573,1.000000,0.000000,140
PlantVillage,5,20,0.136502,0.806361,0.822267,10.405526,0.001669,0.998331,60
PlantVillage,5,21,0.158221,0.983537,0.808444,10.258296,0.028089,0.971911,70
PlantVillage,5,22,0.201608,1.620280,0.823197,10.056185,0.000000,1.000000,90
PlantVillage,5,23,0.177252,1.266123,0.822572,10.689790,0.587311,0.412689,80
PlantVillage,6,24,0.307864,0.996021,0.832324,10.837193,0.170685,0.829315,120
PlantVillage,6,25,0.332080,1.281137,0.825282,9.782896,0.999998,0.000002,130
PlantVillage,6,26,0.342539,1.660281,0.819390,10.413837,0.000000,1.000000,140
PlantVillage,7,27,0.240082,1.484812,0.826972,10.490170,1.000000,0.000000,110
PlantVillage,7,28,0.260967,1.837338,0.822041,9.931617,0.006043,0.993957,120
PlantVillage,7,29,0.214092,1.138624,0.821586,10.286497,0.000000,1.000000,100
PlantVillage,7,30,0.273477,0.773530,0.821627,9.891459,0.009066,0.990934,130
PlantVillage,8,31,0.241505,1.236511,0.831336,10.338025,0.723991,0.276009,120
PlantVillage,8,32,0.200531,0.728283,0.838259,10.328151,1.000000,0.000000,100
PlantVillage,8,33,0.178758,1.550755,0.835452,9.834697,0.005941,0.994059,90
PlantVillage,8,34,0.215774,0.955829,0.829596,10.060236,0.056869,0.943131,110
PlantVillage,8,35,0.153617,1.238458,0.838991,9.530997,0.000000,1.000000,80
PlantVillage,9,36,0.286328,1.242025,0.825625,10.278865,0.000000,1.000000,60
PlantVillage,9,37,0.322412,0.614518,0.825363,9.933967,0.000542,0.999458,70
PlantVillage,9,38,0.358852,0.793237,0.842146,10.284915,1.000000,0.000000,80
PlantVillage,10,39,0.150979,0.931417,0.821947,10.209292,0.000000,1.000000,60
PlantVillage,10,40,0.321393,0.791998,0.813000,10.508286,0.072443,0.927557,130
PlantVillage,10,41,0.342663,1.021769,0.838688,10.573604,1.000000,0.000000,140
PlantVillage,10,42,0.170133,1.210982,0.837334,10.465889,0.005087,0.994913,70
PlantVillage,11,43,0.108648,0.680532,0.819782,10.106259,0.000000,1.000000,60
PlantVillage,11,44,0.196132,0.991541,0.832318,10.290185,1.000000,0.000000,110
PlantVillage,11,45,0.230880,1.593651,0.833298,9.891459,0.010584,0.989416,130
PlantVillage,11,46,0.212440,1.273417,0.825797,10.258325,0.832588,0.167412,120
PlantVillage,11,47,0.245804,2.032432,0.836573,10.857409,0.016879,0.983121,140
PlantVillage,12,48,0.328904,1.383675,0.834848,10.229900,1.000000,0.000000,100
PlantVillage,12,49,0.357890,1.724597,0.831429,10.000557,0.000000,1.000000,110
PlantVillage,12,50,0.290198,1.079816,0.821501,10.742558,0.000009,0.999991,90
PlantVillage,13,51,0.296157,0.862753,0.828176,10.164212,0.088572,0.911428,100
PlantVillage,13,52,0.205614,1.116912,0.831888,9.742369,0.000000,1.000000,70
PlantVillage,13,53,0.233206,1.437179,0.835260,10.184727,0.010311,0.989689,80
PlantVillage,13,54,0.247990,0.675604,0.834558,9.969359,1.000000,0.000000,90
PlantVillage,14,55,0.159896,0.814857,0.832902,10.290618,0.955434,0.044566,70
PlantVillage,14,56,0.137006,0.643026,0.835165,10.080579,0.000000,1.000000,60
PlantVillage,14,57,0.315669,2.016614,0.827417,10.113108,0.010841,0.989159,140
PlantVillage,14,58,0.202542,1.332419,0.825092,10.265172,0.071458,0.928542,90
PlantVillage,14,59,0.173729,1.010106,0.830520,10.294497,1.000000,0.000000,80
PlantVillage,15,60,0.307496,0.778416,0.826791,10.809119,0.002849,0.997151,120
PlantVillage,15,61,0.355687,1.300440,0.820626,10.146726,0.000000,1.000000,140
PlantVillage,15,62,0.327948,1.018343,0.842730,10.348362,1.000000,0.000000,130
PlantVillage,16,63,0.239507,1.195776,0.834071,10.129217,1.000000,0.000000,110
PlantVillage,16,64,0.217309,0.918568,0.821167,9.794229,0.000000,1.000000,100
PlantVillage,16,65,0.280736,1.924039,0.824230,9.773346,0.000065,0.999935,130
PlantVillage,16,66,0.252956,1.507351,0.822895,10.307637,0.813020,0.186980,120
PlantVillage,17,67,0.241506,0.997482,0.818450,10.212662,0.060100,0.939900,120
PlantVillage,17,68,0.220966,0.766779,0.831505,10.331837,1.000000,0.000000,110
PlantVillage,17,69,0.177841,1.340069,0.832985,9.952380,0.379920,0.620080,90
PlantVillage,17,70,0.157426,1.058921,0.830058,10.348905,0.001430,0.998570,80
PlantVillage,17,71,0.192447,1.678903,0.832310,9.755539,0.000000,1.000000,100
PlantVillage,18,72,0.383010,0.608852,0.830990,9.765457,0.999999,0.000001,80
PlantVillage,18,73,0.323153,1.337351,0.827994,10.214275,0.000000,1.000000,70
PlantVillage,18,74,0.273124,1.053030,0.831949,10.394346,0.080672,0.919328,60
PlantVillage,19,75,0.177048,0.994230,0.847924,10.431273,1.000000,0.000000,70
PlantVillage,19,76,0.150284,0.789546,0.825128,10.181315,0.000927,0.999073,60
PlantVillage,19,77,0.321553,1.897604,0.823028,10.364719,0.011620,0.988380,130
PlantVillage,19,78,0.336419,0.784226,0.821723,9.606402,0.000000,1.000000,140
